G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Baysian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),sample,region-set,Bayesian Information Criterion,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set
-2.218980044844666,149.99999999999997,2.1253203413266704,757.9999999975673,-35.79979072137175,6078.984044401828,,0.007132472013072187,-0.0007472754504434246,-36.18205599878429,OMD009-d5.sortByCoord,mammary_hepato_cluster959_hg38,-740.9931333006111,no,0.0,"(-213.50816338196972, 140.60735125881695)",n.s.,-1.52,"(-0.033402027437089185, 0.1264150994268023)",n.s.
-1.4025715310495517,149.00000000000455,-20.869320744773344,757.9999999797021,-20.08657900479521,6078.000005726595,,0.016057474619280858,0.00017661346167852126,-42.749549277363464,OMD009-d5.sortByCoord,mammary_cluster2290_hg38,-809.9300224688742,no,-2.94,"(-45.70208459455415, 80.17115354374201)",n.s.,-3.1,"(0.016165086370466437, 0.06285893150311722)",Significantly weaker coverage drop
-0.7317244933619373,149.99999999999974,-13.337994286487206,757.0000000073543,57.614845435824975,6078.044700552096,,0.005193643197633725,-0.0009006953871235929,43.24416360514187,OMD009-d5.sortByCoord,mammary_epithel_cluster2438_hg38,-766.8627968719711,no,0.93,"(-172.21678150366068, 158.56946515003577)",n.s.,-3.03,"(0.0045725096327799, 0.07562286046136754)",n.s.
5.402474468520397,149.00008971220538,5.910951756423271,757.0000000020286,-19.585742832970194,6078.0239406042565,,-0.016294479163531682,-0.000253858712846104,-7.346257307510397,OMD007-BL.sortByCoord,mammary_cluster2139_hg38,-785.2006195541675,no,1.1,"(-282.6584995059414, 122.80710706872624)",n.s.,-1.7,"(-0.03841500182443668, 0.06053841008316255)",n.s.
-2.8505875537558567,149.00000000000696,-0.515710206109724,757.9999999998503,81.63313551824152,6078.9966641716255,,0.002546487786813328,-0.0023502780974351783,77.72415044383025,OMD007-BL.sortByCoord,mammary_cluster2239_hg38,-927.0859344558168,no,1.03,"(-25.031036956485266, 118.95856122353376)",n.s.,-2.52,"(0.003589316357633595, 0.05539997409431477)",Significantly weaker coverage drop
-11.478541058969045,149.99999999991243,14.588094358712544,757.9999999687357,-57.47802014755763,6078.998356318246,,0.026622727973820818,-0.00028971281308809373,-55.968466330345706,OMD007-BL.sortByCoord,mammary_hepato_cluster959_hg38,-791.3855685361967,no,-0.34,"(-213.50816338196972, 140.60735125881695)",n.s.,-0.77,"(-0.033402027437089185, 0.1264150994268023)",n.s.
3.6635543991325115,149.00000000000009,-18.650387261768845,757.9999999998407,1.0344458445376703,6078.989772981921,,-6.105743089391855e-05,-0.00010722839047236487,-13.549149046699085,OMD007-BL.sortByCoord,mammary_cluster2290_hg38,-914.4047936905783,no,-1.51,"(-45.70208459455415, 80.17115354374201)",n.s.,-5.22,"(0.016165086370466437, 0.06285893150311722)",Significantly weaker coverage drop
-2.668417039113686,149.99999999999892,-2.5471325136133176,757.0000000113961,43.06298121041404,6078.0995465918495,,0.005612829856076439,-0.0010010259411920759,37.35887012666449,OMD007-BL.sortByCoord,mammary_epithel_cluster2438_hg38,-797.6369868397542,no,0.82,"(-172.21678150366068, 158.56946515003577)",n.s.,-2.99,"(0.0045725096327799, 0.07562286046136754)",n.s.
10.634361330261537,149.0000000000623,-13.754143528932099,757.0000000001683,49.809831024244794,6078.949302828242,,-0.02449350008919808,-0.0011550618663527293,48.181065402611964,OMD007-d2.sortByCoord,mammary_cluster2139_hg38,-742.7521840214357,no,1.95,"(-282.6584995059414, 122.80710706872624)",n.s.,-2.21,"(-0.03841500182443668, 0.06053841008316255)",n.s.
1.7058631849620092,149.0000000000002,-4.218055495717143,757.9999999947341,45.69550835618089,6078.943623851587,,-0.005346243259096761,-0.001507769172148684,43.36263368856168,OMD007-d2.sortByCoord,mammary_cluster2239_hg38,-905.894059946913,no,-0.12,"(-25.031036956485266, 118.95856122353376)",n.s.,-3.26,"(0.003589316357633595, 0.05539997409431477)",Significantly weaker coverage drop
